63504	ugdt	アビリティソース
93264	ucdt	ガンナーキルアシストシェア - ライトニング
219375	ucdt	PS2 Gold Hood Ornament を追加して、地上車両をカスタマイズする。
274368	ucdt	Mag-Cutter
436376	ucdt	Allows the user to carry 3 EMP Spikers at a time
533205	ucdt	Daum Title 006 Bundle Name
550805	ucdt	2014 ServerSmash Champion Armor Decal
695549	ugdt	オーディナンス アーマー 3
715733	ugdt	ストレイフ スピード 1
931262	ugdt	ブラックハート
982072	ucdt	Celebrate the Fifth Anniversary of PlanetSide 2 with this decal. This decal can be applied to armor.
1261098	ucdt	2.5倍 ズーム光学照準器
1280742	ugdt	"8" フード オーナメント
1290857	ugdt	フラッシュ バンパー TR003
1309318	ucdt	よし。サンダラーは展開中は味方のリスポーン地点となる、攻勢作戦に不可欠な存在だ。サンダラーを離れ、攻撃を援護しよう。
1369873	ucdt	短いクールダウンの低高度ロケットアシストジャンプを使用することができます。
1464764	ucdt	Vidar Observation Site
1467536	ucdt	リベレーターの放置タイマーを27分に延長する。
1468731	ucdt	Mag-Cutter：銀メダル
1517575	ucdt	グループIDが不正なため、分隊からキックすることができませんでした。
1530486	ucdt	車両のブレーキ力を増加させるパフォーマンスを解除する。
1640158	ucdt	リロードスピード 1
1688983	ucdt	釣り
1691739	ucdt	獲得するメリットとXPが50%増加します。
1735402	ucdt	経過時間: %0
1926553	ucdt	ノード周辺の防御を固めて維持!
1938811	ucdt	武器の最大弾薬容量を280発増加させる。
2000996	ucdt	TR TMG-50 + Cert
2025683	ucdt	Flayer：金メダル
2133224	ucdt	NC's Perfect Shotgun
2250465	ucdt	Adds a cosmetic attachment to your ANT. All factions can use this gear.
2253416	ugdt	Munitions Module
2280696	ugdt	センサーシールド 3
2312662	ucdt	Vehicle respawn disabled when the facility is contested
2434666	ucdt	Adds a cosmetic finish to the Dervish's cockpit glass. NSO use only.
2525758	ucdt	残り時間: [*Time*]
2638246	ucdt	時間経過で自動的にHPを修復します。ダメージを受けると数秒間修復が無効です。
