63504	ugdt	Ability Source
93264	ucdt	ガンナーキルアシストシェア - ライトニング
219375	ucdt	PS2 Gold Hood Ornamentを追加してあなたの地上車両をカスタマイズします。
274368	ucdt	Mag-Cutter
436376	ucdt	Allows the user to carry 3 EMP Spikers at a time
533205	ucdt	Daum Title 006 Bundle Name
550805	ucdt	2014 ServerSmash Champion Armor Decal
695549	ugdt	オーディナンス アーマー 3
715733	ugdt	平行移動スピード 1
931262	ugdt	Blackheart
982072	ucdt	Celebrate the Fifth Anniversary of PlanetSide 2 with this decal. This decal can be applied to armor.
1261098	ucdt	2.5x 光学ズーム
1280742	ugdt	"8" Hood Ornament
1290857	ugdt	Flash Bumper TR003
1309318	ucdt	Good. The Sunderer acts as a respawn point for our allies while deployed, and is critical to any offensive push. Leave the Sunderer, and let's help press the attack.
1369873	ucdt	短いクールダウンの低高度ロケットアシストジャンプを使用することができます。
1464764	ucdt	Vidar Observation Site
1467536	ucdt	Increases the Idle Timer on the Liberator to 27 minutes.
1468731	ucdt	Mag-Cutter: 銀メダル
1517575	ucdt	グループIDが不正なため、分隊からキックすることができませんでした。
1530486	ucdt	車両のブレーキ力を増加させるパフォーマンスを解除する。
1640158	ucdt	リロードスピード 1
1691739	ucdt	獲得するメリットとXPが50%増加します。
1735402	ucdt	経過時間: %0
1926553	ucdt	ノード周辺の防御を固めて維持!
1938811	ucdt	武器の最大弾薬容量を280発増加させます。
2000996	ucdt	TR TMG-50 + サート
2025683	ucdt	Flayer: 金メダル
2133224	ucdt	NC's Perfect Shotgun
2250465	ucdt	あなたのアントにコスメチックアタッチメントを追加します。 この装飾はすべての帝国で使用可能。
2280696	ugdt	センサーシールド 3
2434666	ucdt	Adds a cosmetic finish to the Dervish's cockpit glass. NSO use only.
2525758	ucdt	残り時間: [*Time*]
2638246	ucdt	時間経過で自動的にHPを修復します。ダメージを受けると数秒間修復が無効です。
2639296	ucdt	MG-A1 Arbalest: 銅メダル
2675904	ucdt	The Honeybadger Vehicle Decal
2829572	ugdt	kmoyer - test gun
2938536	ucdt	武器のリロードする時間を0.2秒短縮します。
3067516	ucdt	Retrieve data.
3073012	ucdt	PLACEHOLDER WEAPON NAME
3351148	ucdt	Expert Launcher Banner
3361867	ucdt	あなたの車両にデカールを適用します。NCのみ使用可能。
3372743	ucdt	NS-15 "Endeavor" Machinegun
3421238	ucdt	ターン、ロール、敏捷性を改良します。 (前のランクより高い効果があります)
3423464	ucdt	ガンナーキルシェア - ドロップポッド
3505127	ucdt	分隊リーダーシップ
3547643	ugdt	Auraximas: Hadley
3566505	ucdt	スコア
3822220	ucdt	持ち運べるF.U.S.E.(対人)を1つ増加させます。
3916918	ucdt	NS-60 Flamethrower: 銅メダル
4234178	ucdt	ACE Tool - Turret: 銅メダル
4376735	ucdt	この重力パッドを使用すると、素早く上下に移動することができます。 パッドを踏むだけで流れる粒子の方向に上昇または、下降します。
4377775	ucdt	Amerish Scrub Vehicle Camo
4387352	ugdt	Static Arctic Weapon Camo
4392764	ucdt	地域
4414651	ugdt	Ashtiger Vehicle Camo
4547595	ucdt	An uncommon liquid-like substance with intricate conductive qualities.
4573804	ucdt	10% 経験値ブースト
4593374	ucdt	メンバーの昇格、降格
4614870	ucdt	<font color="#7FF4FF">[/re]gionsay </font>- 現在の地域のすべての同じ帝国にテキストメッセージを送信します。あなたの現在地域は画面の左側のマップに表示されます。
4669484	ucdt	武器のリロードする時間を0.5秒短縮します。
4720349	ucdt	Perfcirc Camo
4826084	ucdt	あなたの車両にデカールを適用します。このデカールはすべての帝国で使用可能。
4841895	ugdt	STORM BUOY
5042024	ucdt	オールアクセスメンバーシップ
5045836	ucdt	Celebrate eight years of PlanetSide 2 with this special bundle. Note: Bundle contains weapons and cosmetics for all empires. Boost is only available to the character who purchased the bundle.
5100230	ucdt	NS-66 Punisher: Copper Medal
5392687	ucdt	ナナイトオートリペアシステム 1
5404723	ucdt	スナイパー: 合計50,000のダメージを与える
5408011	ucdt	エンジニア: タクティカル装備
5692652	ucdt	敵をキルすると12%の確率で4秒間、25メートル以内にいる自分と味方の最低COFを30%減少させます。MAXユニットは装備してインプラントの効果を使う事ができますが、他からのバフを受け取ることはできません。
5730971	ucdt	オーラクシアム繊維で織られた祭りの青い帽子 <br><font color="#2af72a">着用したとき+XP50%</font><br><font color="#FF0000">このアイテムは、冬のホリデーシーズンのみ使用可能。</font>
5746893	ugdt	O2-7 (7x)
5785670	ucdt	ファイアストーム
5827656	ucdt	Thank you for being a member. You now receive Members Only mission rewards.
5890435	ucdt	必要なアウトフィットロイヤルティ - ランク 10
5919759	ucdt	5 Years of Liberty Armor Decal
5939547	ucdt	武器の最大弾薬容量を17発増加させます。
6081400	ucdt	NC12 Sweeper: 金メダル
6256017	ucdt	Kill Marks Vehicle Decal
6266753	ucdt	リロードスピード 4
6301696	ugdt	Mosquito Death From Above Glass Decal
6329828	ucdt	Skyguard Gun
6457191	ucdt	<font color="#00FFAA">Knightly:</font> We didn't care so much about weapons of war, but more about strengthening the will of our people. Or maybe I just miss the way things used to be.
